9423 17305 : Rup 5600 , Rdown1 27000 , down0H 6015 Rdown2H 4919.12766924125397546569 , down0L 26300 Rdown2L 13322.70168855534709193245 : VsplitH .46763646415521366930 VsplitL .70405917230165182732 , VdiffH 1.33635 VdiffL 0.39408 : diffH2 13364 diffL2 3941 : diffF1 9423 diffF2 17305
10293 20231 : Rup 5600 , Rdown1 33000 , down0H 6015 Rdown2H 5087.65859284890426758938 , down0L 26300 Rdown2L 14635.75042158516020236087 : VsplitH .47603116703718892318 VsplitL .72326205436757279287 , VdiffH 0.49688 VdiffL 1.52621 : diffH2 4969 diffL2 15262 : diffF1 10293 diffF2 20231
4870 22066 : Rup 4700 , Rdown1 18000 , down0H 6015 Rdown2H 4508.43222985633978763272 , down0L 26300 Rdown2L 10686.23024830699774266365 : VsplitH .48959824184172505714 VsplitL .69453206379014392394 , VdiffH 0.85982 VdiffL 1.34679 : diffH2 8598 diffL2 13468 : diffF1 4870 diffF2 22066
28160 30204 : Rup 5600 , Rdown1 39000 , down0H 6015 Rdown2H 5211.26291236254581806064 , down0L 26300 Rdown2L 15707.50382848392036753445 : VsplitH .48202166153997891790 VsplitL .73718179074012850551 , VdiffH 0.10217 VdiffL 2.91818 : diffH2 1022 diffL2 29182 : diffF1 28160 diffF2 30204
10035 30463 : Rup 4700 , Rdown1 22000 , down0H 6015 Rdown2H 4723.54096019989291451008 , down0L 26300 Rdown2L 11979.29606625258799171842 : VsplitH .50124905066467677144 VsplitL .71821352763744243492 , VdiffH 2.02491 VdiffL 1.02135 : diffH2 20249 diffL2 10214 : diffF1 10035 diffF2 30463
34169 41385 : Rup 4700 , Rdown1 15000 , down0H 6015 Rdown2H 4293.36188436830835117773 , down0L 26300 Rdown2L 9552.05811138014527845036 : VsplitH .47739231886473487463 VsplitL .67022306790574404104 , VdiffH 0.36077 VdiffL 3.77769 : diffH2 3608 diffL2 37777 : diffF1 34169 diffF2 41385
40923 45087 : Rup 3900 , Rdown1 15000 , down0H 6015 Rdown2H 4293.36188436830835117773 , down0L 26300 Rdown2L 9552.05811138014527845036 : VsplitH .52400491336277866346 VsplitL .71008153788001511960 , VdiffH 4.30049 VdiffL 0.20815 : diffH2 43005 diffL2 2082 : diffF1 40923 diffF2 45087
36837 46115 : Rup 6800 , Rdown1 47000 , down0H 6015 Rdown2H 5332.54739224747712911440 , down0L 26300 Rdown2L 16863.57435197817189631650 : VsplitH .43952413453211796513 VsplitL .71263850934541722877 , VdiffH 4.14759 VdiffL 0.46385 : diffH2 41476 diffL2 4639 : diffF1 36837 diffF2 46115
35940 49476 : Rup 5600 , Rdown1 47000 , down0H 6015 Rdown2H 5332.54739224747712911440 , down0L 26300 Rdown2L 16863.57435197817189631650 : VsplitH .48776805632957147219 VsplitL .75070752711681181600 , VdiffH 0.67681 VdiffL 4.27075 : diffH2 6768 diffL2 42708 : diffF1 35940 diffF2 49476
3107 50007 : Rup 5600 , Rdown1 22000 , down0H 6015 Rdown2H 4723.54096019989291451008 , down0L 26300 Rdown2L 11979.29606625258799171842 : VsplitH .45755046436202950064 VsplitL .68144344466952466198 , VdiffH 2.34495 VdiffL 2.65566 : diffH2 23450 diffL2 26557 : diffF1 3107 diffF2 50007
20292 53584 : Rup 6800 , Rdown1 56000 , down0H 6015 Rdown2H 5431.58913166169475126985 , down0L 26300 Rdown2L 17895.50425273390036452004 : VsplitH .44406242502063168552 VsplitL .72464623801932652378 , VdiffH 3.69376 VdiffL 1.66462 : diffH2 36938 diffL2 16646 : diffF1 20292 diffF2 53584
