191 883 : Rup 6200 , Rdown1 47000 , down0H 6015 Rdown2H 5332.54739224747712911440 , down0L 26300 Rdown2L 16863.57435197817189631650 : VsplitH .46239111020971609328 VsplitL .73117783456369487033 , VdiffH 1.86089 VdiffL 2.31778 : diffH2 346 diffL2 537 : diffF1 191 diffF2 883
885 947 : Rup 6200 , Rdown1 33000 , down0H 6015 Rdown2H 5087.65859284890426758938 , down0L 26300 Rdown2L 14635.75042158516020236087 : VsplitH .45072754025995258726 VsplitL .70243452361682152222 , VdiffH 3.02725 VdiffL 0.55655 : diffH2 916 diffL2 31 : diffF1 885 diffF2 947
925 977 : Rup 4300 , Rdown1 18000 , down0H 6015 Rdown2H 4508.43222985633978763272 , down0L 26300 Rdown2L 10686.23024830699774266365 : VsplitH .51183140338809981350 VsplitL .71306993628462546506 , VdiffH 3.08314 VdiffL 0.50699 : diffH2 951 diffL2 26 : diffF1 925 diffF2 977
232 994 : Rup 4700 , Rdown1 24000 , down0H 6015 Rdown2H 4809.59520239880059970014 , down0L 26300 Rdown2L 12548.70775347912524850894 : VsplitH .50576234845260054549 VsplitL .72751581931974043637 , VdiffH 2.47623 VdiffL 1.95158 : diffH2 613 diffL2 381 : diffF1 232 diffF2 994
558 1096 : Rup 6200 , Rdown1 51000 , down0H 6015 Rdown2H 5380.42620363062352012628 , down0L 26300 Rdown2L 17351.87580853816300129366 : VsplitH .46461383277446089256 VsplitL .73675132926132618534 , VdiffH 1.63862 VdiffL 2.87513 : diffH2 269 diffL2 827 : diffF1 558 diffF2 1096
826 1104 : Rup 5100 , Rdown1 18000 , down0H 6015 Rdown2H 4508.43222985633978763272 , down0L 26300 Rdown2L 10686.23024830699774266365 : VsplitH .46921621779745304912 VsplitL .67693363648063146154 , VdiffH 1.17838 VdiffL 3.10664 : diffH2 139 diffL2 965 : diffF1 826 diffF2 1104
155 1255 : Rup 5600 , Rdown1 22000 , down0H 6015 Rdown2H 4723.54096019989291451008 , down0L 26300 Rdown2L 11979.29606625258799171842 : VsplitH .45755046436202950064 VsplitL .68144344466952466198 , VdiffH 2.34495 VdiffL 2.65566 : diffH2 550 diffL2 705 : diffF1 155 diffF2 1255
733 1347 : Rup 3900 , Rdown1 13000 , down0H 6015 Rdown2H 4112.27977912174599000788 , down0L 26300 Rdown2L 8699.74554707379134860050 : VsplitH .51324715218226033533 VsplitL .69046993961669729587 , VdiffH 3.22472 VdiffL 1.75301 : diffH2 1040 diffL2 307 : diffF1 733 diffF2 1347
1316 1350 : Rup 5600 , Rdown1 43000 , down0H 6015 Rdown2H 5276.85402427828215852290 , down0L 26300 Rdown2L 16318.90331890331890331890 : VsplitH .48514524627247814318 VsplitL .74451276514503153431 , VdiffH 0.41452 VdiffL 3.65128 : diffH2 17 diffL2 1333 : diffF1 1316 diffF2 1350
943 1377 : Rup 6200 , Rdown1 30000 , down0H 6015 Rdown2H 5010.41232819658475635152 , down0L 26300 Rdown2L 14014.20959147424511545293 : VsplitH .44694273337246713874 VsplitL .69328506405637664095 , VdiffH 3.40573 VdiffL 1.47149 : diffH2 1160 diffL2 217 : diffF1 943 diffF2 1377
1006 1400 : Rup 6200 , Rdown1 56000 , down0H 6015 Rdown2H 5431.58913166169475126985 , down0L 26300 Rdown2L 17895.50425273390036452004 : VsplitH .46696879249944200528 VsplitL .74269058929129728802 , VdiffH 1.40312 VdiffL 3.46906 : diffH2 197 diffL2 1203 : diffF1 1006 diffF2 1400
1414 1440 : Rup 4700 , Rdown1 15000 , down0H 6015 Rdown2H 4293.36188436830835117773 , down0L 26300 Rdown2L 9552.05811138014527845036 : VsplitH .47739231886473487463 VsplitL .67022306790574404104 , VdiffH 0.36077 VdiffL 3.77769 : diffH2 13 diffL2 1427 : diffF1 1414 diffF2 1440
790 1466 : Rup 5100 , Rdown1 33000 , down0H 6015 Rdown2H 5087.65859284890426758938 , down0L 26300 Rdown2L 14635.75042158516020236087 : VsplitH .49939429619482151550 VsplitL .74158570659557560688 , VdiffH 1.83943 VdiffL 3.35857 : diffH2 338 diffL2 1128 : diffF1 790 diffF2 1466
192 1518 : Rup 3900 , Rdown1 12000 , down0H 6015 Rdown2H 4006.66111573688592839300 , down0L 26300 Rdown2L 8240.20887728459530026109 : VsplitH .50674501627017976179 VsplitL .67875346796567520485 , VdiffH 2.57450 VdiffL 2.92465 : diffH2 663 diffL2 855 : diffF1 192 diffF2 1518
1442 1566 : Rup 4300 , Rdown1 13000 , down0H 6015 Rdown2H 4112.27977912174599000788 , down0L 26300 Rdown2L 8699.74554707379134860050 : VsplitH .48884248825483950625 VsplitL .66922429485799291432 , VdiffH 0.78425 VdiffL 3.87757 : diffH2 62 diffL2 1504 : diffF1 1442 diffF2 1566
1087 1641 : Rup 6800 , Rdown1 56000 , down0H 6015 Rdown2H 5431.58913166169475126985 , down0L 26300 Rdown2L 17895.50425273390036452004 : VsplitH .44406242502063168552 VsplitL .72464623801932652378 , VdiffH 3.69376 VdiffL 1.66462 : diffH2 1364 diffL2 277 : diffF1 1087 diffF2 1641
1433 1651 : Rup 6800 , Rdown1 51000 , down0H 6015 Rdown2H 5380.42620363062352012628 , down0L 26300 Rdown2L 17351.87580853816300129366 : VsplitH .44172725269883234192 VsplitL .71844837006009834274 , VdiffH 3.92727 VdiffL 1.04484 : diffH2 1542 diffL2 109 : diffF1 1433 diffF2 1651
1077 1685 : Rup 4300 , Rdown1 20000 , down0H 6015 Rdown2H 4624.25523736305977320776 , down0L 26300 Rdown2L 11360.69114470842332613390 : VsplitH .51816707550034566008 VsplitL .72542718834903253389 , VdiffH 3.71671 VdiffL 1.74272 : diffH2 1381 diffL2 304 : diffF1 1077 diffF2 1685
675 1721 : Rup 6800 , Rdown1 62000 , down0H 6015 Rdown2H 5483.05520840990957876938 , down0L 26300 Rdown2L 18466.59116647791619479048 : VsplitH .44639180687356960231 VsplitL .73086990820424555364 , VdiffH 3.46082 VdiffL 2.28699 : diffH2 1198 diffL2 523 : diffF1 675 diffF2 1721
1698 1742 : Rup 6800 , Rdown1 47000 , down0H 6015 Rdown2H 5332.54739224747712911440 , down0L 26300 Rdown2L 16863.57435197817189631650 : VsplitH .43952413453211796513 VsplitL .71263850934541722877 , VdiffH 4.14759 VdiffL 0.46385 : diffH2 1720 diffL2 22 : diffF1 1698 diffF2 1742
1516 1788 : Rup 6200 , Rdown1 62000 , down0H 6015 Rdown2H 5483.05520840990957876938 , down0L 26300 Rdown2L 18466.59116647791619479048 : VsplitH .46931689618850700269 VsplitL .74864787930543694847 , VdiffH 1.16831 VdiffL 4.06479 : diffH2 136 diffL2 1652 : diffF1 1516 diffF2 1788
1845 1853 : Rup 3900 , Rdown1 15000 , down0H 6015 Rdown2H 4293.36188436830835117773 , down0L 26300 Rdown2L 9552.05811138014527845036 : VsplitH .52400491336277866346 VsplitL .71008153788001511960 , VdiffH 4.30049 VdiffL 0.20815 : diffH2 1849 diffL2 4 : diffF1 1845 diffF2 1853
